scenario_version,policy_grid_version,detector_set_version,scenario_id,detector_id,policy_id,seed,A,H,loss,loss_p90_term,contain_frac,breach_frac,false_alerts
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,0,0.9090909090909091,1.0,0.09690909090909094,,0.0,0.0,3.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,1,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,2,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,3,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,4,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,5,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,6,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,7,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,8,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,9,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,10,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,11,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,12,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,13,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,14,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,15,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,16,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,17,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,18,0.9090909090909091,1.0,0.09090909090909094,,0.0,0.0,0.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,19,0.9090909090909091,1.0,0.09490909090909094,,0.0,0.0,2.0
v1.0,v1.0,v1.0,S0_nominal,D0_weak,P_alpha0.15,20,0.9090909090909091,1.0,0.09290909090909094,,0.0,0.0,1.0
