ablation,A_mean,H_mean,CVaR_0_9,delta_A,delta_H,delta_CVaR
alert threshold -1,0.7211258680555556,0.9997846902826781,0.3963996218485255,0.0022305871212121575,0.0002410385514673985,-0.009710833766088278
alert threshold +1,0.7136543166035354,0.9989302221592183,0.42236157409528746,-0.005240964330808007,-0.0006134295719923966,0.016251118480673676
escalation delay -4,0.7130969065656566,0.9995504224770386,0.4112245915556777,-0.005798374368686798,6.7707458278887245e-06,0.005114135941063913
escalation delay +4,0.722893584280303,0.9995003189579134,0.3969550143254622,0.003998303345959631,-4.3332773297377614e-05,-0.009155441289151578
coarse isolation -0.10,0.7191730587121212,0.9995436517312107,0.40541601117016934,0.0002777777777778212,0.0,-0.000694444444444442
coarse isolation +0.10,0.7186175031565657,0.9995436517312107,0.4068049000590582,-0.0002777777777777102,0.0,0.000694444444444442
throttle level -0.10,0.7108310448232323,0.9995436517312107,0.4148604556146138,-0.008064236111111067,0.0,0.008750000000000036
throttle level +0.10,0.7269595170454546,0.9995436517312107,0.39736045561461375,0.008064236111111178,0.0,-0.008750000000000036
contain min -10,0.6946146227904041,0.9994759442729334,0.4311389370965196,-0.024280658143939315,-6.770745827733293e-05,0.02502848148190584
contain min +10,0.7370291193181819,0.9994028202179941,0.38427919489120027,0.01813383838383853,-0.00014083151321664378,-0.021831260723413515
recover min -20,0.7661373500631312,0.999340529356379,0.3586317258395448,0.04724206912878781,-0.00020312237483177675,-0.047478729775069006
recover min +20,0.6881392834595961,0.9996167757861503,0.4352485938645527,-0.030755997474747332,7.312405493953289e-05,0.02913813824993894
